time_instant,node_0_initial_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_used_cpu,node_0_initial_bw,node_0_used_bw,node_0_gpu_type,node_1_initial_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_used_cpu,node_1_initial_bw,node_1_used_bw,node_1_gpu_type,node_2_initial_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_used_cpu,node_2_initial_bw,node_2_used_bw,node_2_gpu_type,node_3_initial_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_used_cpu,node_3_initial_bw,node_3_used_bw,node_3_gpu_type,node_4_initial_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_used_cpu,node_4_initial_bw,node_4_used_bw,node_4_gpu_type,node_5_initial_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_used_cpu,node_5_initial_bw,node_5_used_bw,node_5_gpu_type,node_6_initial_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_used_cpu,node_6_initial_bw,node_6_used_bw,node_6_gpu_type,node_7_initial_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_used_cpu,node_7_initial_bw,node_7_used_bw,node_7_gpu_type,node_8_initial_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_used_cpu,node_8_initial_bw,node_8_used_bw,node_8_gpu_type,node_9_initial_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_used_cpu,node_9_initial_bw,node_9_used_bw,node_9_gpu_type,node_10_initial_gpu,node_10_used_gpu,node_10_initial_cpu,node_10_used_cpu,node_10_initial_bw,node_10_used_bw,node_10_gpu_type,node_11_initial_gpu,node_11_used_gpu,node_11_initial_cpu,node_11_used_cpu,node_11_initial_bw,node_11_used_bw,node_11_gpu_type,node_12_initial_gpu,node_12_used_gpu,node_12_initial_cpu,node_12_used_cpu,node_12_initial_bw,node_12_used_bw,node_12_gpu_type,node_13_initial_gpu,node_13_used_gpu,node_13_initial_cpu,node_13_used_cpu,node_13_initial_bw,node_13_used_bw,node_13_gpu_type,node_14_initial_gpu,node_14_used_gpu,node_14_initial_cpu,node_14_used_cpu,node_14_initial_bw,node_14_used_bw,node_14_gpu_type,node_15_initial_gpu,node_15_used_gpu,node_15_initial_cpu,node_15_used_cpu,node_15_initial_bw,node_15_used_bw,node_15_gpu_type,node_16_initial_gpu,node_16_used_gpu,node_16_initial_cpu,node_16_used_cpu,node_16_initial_bw,node_16_used_bw,node_16_gpu_type,node_17_initial_gpu,node_17_used_gpu,node_17_initial_cpu,node_17_used_cpu,node_17_initial_bw,node_17_used_bw,node_17_gpu_type,node_18_initial_gpu,node_18_used_gpu,node_18_initial_cpu,node_18_used_cpu,node_18_initial_bw,node_18_used_bw,node_18_gpu_type,node_19_initial_gpu,node_19_used_gpu,node_19_initial_cpu,node_19_used_cpu,node_19_initial_bw,node_19_used_bw,node_19_gpu_type,node_20_initial_gpu,node_20_used_gpu,node_20_initial_cpu,node_20_used_cpu,node_20_initial_bw,node_20_used_bw,node_20_gpu_type,node_21_initial_gpu,node_21_used_gpu,node_21_initial_cpu,node_21_used_cpu,node_21_initial_bw,node_21_used_bw,node_21_gpu_type,node_22_initial_gpu,node_22_used_gpu,node_22_initial_cpu,node_22_used_cpu,node_22_initial_bw,node_22_used_bw,node_22_gpu_type,node_23_initial_gpu,node_23_used_gpu,node_23_initial_cpu,node_23_used_cpu,node_23_initial_bw,node_23_used_bw,node_23_gpu_type,node_24_initial_gpu,node_24_used_gpu,node_24_initial_cpu,node_24_used_cpu,node_24_initial_bw,node_24_used_bw,node_24_gpu_type,node_25_initial_gpu,node_25_used_gpu,node_25_initial_cpu,node_25_used_cpu,node_25_initial_bw,node_25_used_bw,node_25_gpu_type,node_26_initial_gpu,node_26_used_gpu,node_26_initial_cpu,node_26_used_cpu,node_26_initial_bw,node_26_used_bw,node_26_gpu_type,node_27_initial_gpu,node_27_used_gpu,node_27_initial_cpu,node_27_used_cpu,node_27_initial_bw,node_27_used_bw,node_27_gpu_type,node_28_initial_gpu,node_28_used_gpu,node_28_initial_cpu,node_28_used_cpu,node_28_initial_bw,node_28_used_bw,node_28_gpu_type,node_29_initial_gpu,node_29_used_gpu,node_29_initial_cpu,node_29_used_cpu,node_29_initial_bw,node_29_used_bw,node_29_gpu_type,node_30_initial_gpu,node_30_used_gpu,node_30_initial_cpu,node_30_used_cpu,node_30_initial_bw,node_30_used_bw,node_30_gpu_type,node_31_initial_gpu,node_31_used_gpu,node_31_initial_cpu,node_31_used_cpu,node_31_initial_bw,node_31_used_bw,node_31_gpu_type,node_32_initial_gpu,node_32_used_gpu,node_32_initial_cpu,node_32_used_cpu,node_32_initial_bw,node_32_used_bw,node_32_gpu_type,node_33_initial_gpu,node_33_used_gpu,node_33_initial_cpu,node_33_used_cpu,node_33_initial_bw,node_33_used_bw,node_33_gpu_type,node_34_initial_gpu,node_34_used_gpu,node_34_initial_cpu,node_34_used_cpu,node_34_initial_bw,node_34_used_bw,node_34_gpu_type,node_35_initial_gpu,node_35_used_gpu,node_35_initial_cpu,node_35_used_cpu,node_35_initial_bw,node_35_used_bw,node_35_gpu_type,node_36_initial_gpu,node_36_used_gpu,node_36_initial_cpu,node_36_used_cpu,node_36_initial_bw,node_36_used_bw,node_36_gpu_type,node_37_initial_gpu,node_37_used_gpu,node_37_initial_cpu,node_37_used_cpu,node_37_initial_bw,node_37_used_bw,node_37_gpu_type,node_38_initial_gpu,node_38_used_gpu,node_38_initial_cpu,node_38_used_cpu,node_38_initial_bw,node_38_used_bw,node_38_gpu_type,node_39_initial_gpu,node_39_used_gpu,node_39_initial_cpu,node_39_used_cpu,node_39_initial_bw,node_39_used_bw,node_39_gpu_type,node_40_initial_gpu,node_40_used_gpu,node_40_initial_cpu,node_40_used_cpu,node_40_initial_bw,node_40_used_bw,node_40_gpu_type,node_41_initial_gpu,node_41_used_gpu,node_41_initial_cpu,node_41_used_cpu,node_41_initial_bw,node_41_used_bw,node_41_gpu_type,node_42_initial_gpu,node_42_used_gpu,node_42_initial_cpu,node_42_used_cpu,node_42_initial_bw,node_42_used_bw,node_42_gpu_type,node_43_initial_gpu,node_43_used_gpu,node_43_initial_cpu,node_43_used_cpu,node_43_initial_bw,node_43_used_bw,node_43_gpu_type,node_44_initial_gpu,node_44_used_gpu,node_44_initial_cpu,node_44_used_cpu,node_44_initial_bw,node_44_used_bw,node_44_gpu_type,node_45_initial_gpu,node_45_used_gpu,node_45_initial_cpu,node_45_used_cpu,node_45_initial_bw,node_45_used_bw,node_45_gpu_type,node_46_initial_gpu,node_46_used_gpu,node_46_initial_cpu,node_46_used_cpu,node_46_initial_bw,node_46_used_bw,node_46_gpu_type,node_47_initial_gpu,node_47_used_gpu,node_47_initial_cpu,node_47_used_cpu,node_47_initial_bw,node_47_used_bw,node_47_gpu_type,node_48_initial_gpu,node_48_used_gpu,node_48_initial_cpu,node_48_used_cpu,node_48_initial_bw,node_48_used_bw,node_48_gpu_type,node_49_initial_gpu,node_49_used_gpu,node_49_initial_cpu,node_49_used_cpu,node_49_initial_bw,node_49_used_bw,node_49_gpu_type
1246,8,7.95,96,93.85,100000000000,0,MISC,2,2.0,64,18.5,100000000000,0,P100,2,1.5,96,34.0,100000000000,0,T4,8,7.95,96,94.4,100000000000,0,MISC,2,2.0,96,42.0,100000000000,0,T4,2,1.75,96,22.0,100000000000,0,T4,2,2.0,96,28.0,100000000000,0,T4,8,7.9,96,91.0,100000000000,0,MISC,8,7.85,96,94.0,100000000000,0,MISC,2,2.0,64,50.0,100000000000,0,P100,8,7.55,96,96.0,100000000000,0,MISC,2,1.75,64,16.0,100000000000,0,P100,2,2.0,96,14.0,100000000000,0,T4,2,2.0,64,12.0,100000000000,0,P100,2,2.0,96,44.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,3.6,96,33.0,100000000000,0,MISC,2,2.0,64,16.0,100000000000,0,P100,2,0.5,96,12.0,100000000000,0,T4,2,1.5,96,16.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,7.5,96,40.0,100000000000,0,V100,8,1.0,96,6.0,100000000000,0,MISC,2,1.0,64,18.0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,2.0,96,12.0,100000000000,0,T4,2,1.0,96,6.0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,8,1.0,96,18.0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4
1247,8,7.95,96,93.85,100000000000,0,MISC,2,2.0,64,18.5,100000000000,0,P100,2,1.5,96,34.0,100000000000,0,T4,8,7.95,96,94.4,100000000000,0,MISC,2,2.0,96,42.0,100000000000,0,T4,2,1.75,96,22.0,100000000000,0,T4,2,2.0,96,28.0,100000000000,0,T4,8,7.9,96,91.0,100000000000,0,MISC,8,7.85,96,94.0,100000000000,0,MISC,2,2.0,64,50.0,100000000000,0,P100,8,7.55,96,96.0,100000000000,0,MISC,2,1.75,64,16.0,100000000000,0,P100,2,2.0,96,14.0,100000000000,0,T4,2,2.0,64,12.0,100000000000,0,P100,2,2.0,96,44.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,3.6,96,33.0,100000000000,0,MISC,2,2.0,64,16.0,100000000000,0,P100,2,0.5,96,12.0,100000000000,0,T4,2,1.5,96,16.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,7.5,96,40.0,100000000000,0,V100,8,1.0,96,6.0,100000000000,0,MISC,2,1.0,64,18.0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,2.0,96,12.0,100000000000,0,T4,2,1.0,96,6.0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,8,1.0,96,18.0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4
1248,8,7.95,96,93.85,100000000000,0,MISC,2,2.0,64,18.5,100000000000,0,P100,2,1.5,96,34.0,100000000000,0,T4,8,7.95,96,94.4,100000000000,0,MISC,2,2.0,96,42.0,100000000000,0,T4,2,1.75,96,22.0,100000000000,0,T4,2,2.0,96,28.0,100000000000,0,T4,8,7.9,96,91.0,100000000000,0,MISC,8,7.85,96,94.0,100000000000,0,MISC,2,2.0,64,50.0,100000000000,0,P100,8,7.55,96,96.0,100000000000,0,MISC,2,1.75,64,16.0,100000000000,0,P100,2,2.0,96,14.0,100000000000,0,T4,2,2.0,64,12.0,100000000000,0,P100,2,2.0,96,44.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,3.6,96,33.0,100000000000,0,MISC,2,2.0,64,16.0,100000000000,0,P100,2,0.5,96,12.0,100000000000,0,T4,2,1.5,96,16.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,7.5,96,40.0,100000000000,0,V100,8,1.0,96,6.0,100000000000,0,MISC,2,1.0,64,18.0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,2.0,96,12.0,100000000000,0,T4,2,1.0,96,6.0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,8,1.0,96,18.0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4
1249,8,7.95,96,93.85,100000000000,0,MISC,2,2.0,64,18.5,100000000000,0,P100,2,1.0,96,24.0,100000000000,0,T4,8,7.95,96,94.4,100000000000,0,MISC,2,2.0,96,42.0,100000000000,0,T4,2,1.75,96,22.0,100000000000,0,T4,2,2.0,96,28.0,100000000000,0,T4,8,7.9,96,91.0,100000000000,0,MISC,8,7.85,96,94.0,100000000000,0,MISC,2,2.0,64,50.0,100000000000,0,P100,8,7.55,96,96.0,100000000000,0,MISC,2,1.75,64,16.0,100000000000,0,P100,2,2.0,96,14.0,100000000000,0,T4,2,2.0,64,12.0,100000000000,0,P100,2,2.0,96,44.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,3.6,96,33.0,100000000000,0,MISC,2,2.0,64,16.0,100000000000,0,P100,2,0.5,96,12.0,100000000000,0,T4,2,1.5,96,16.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,7.5,96,40.0,100000000000,0,V100,8,1.0,96,6.0,100000000000,0,MISC,2,1.0,64,18.0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,2.0,96,12.0,100000000000,0,T4,2,1.0,96,6.0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,8,1.0,96,18.0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4
1250,8,7.95,96,93.85,100000000000,0,MISC,2,2.0,64,18.5,100000000000,0,P100,2,1.5,96,34.0,100000000000,0,T4,8,7.95,96,94.4,100000000000,0,MISC,2,2.0,96,42.0,100000000000,0,T4,2,1.75,96,22.0,100000000000,0,T4,2,2.0,96,28.0,100000000000,0,T4,8,7.9,96,91.0,100000000000,0,MISC,8,7.85,96,94.0,100000000000,0,MISC,2,2.0,64,50.0,100000000000,0,P100,8,7.55,96,96.0,100000000000,0,MISC,2,1.75,64,16.0,100000000000,0,P100,2,2.0,96,14.0,100000000000,0,T4,2,2.0,64,12.0,100000000000,0,P100,2,2.0,96,44.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,3.6,96,33.0,100000000000,0,MISC,2,2.0,64,16.0,100000000000,0,P100,2,0.5,96,12.0,100000000000,0,T4,2,1.5,96,16.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,7.5,96,40.0,100000000000,0,V100,8,1.0,96,6.0,100000000000,0,MISC,2,1.0,64,18.0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,2.0,96,12.0,100000000000,0,T4,2,1.0,96,6.0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,8,1.0,96,18.0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4
1251,8,7.95,96,93.85,100000000000,0,MISC,2,2.0,64,18.5,100000000000,0,P100,2,1.75,96,40.0,100000000000,0,T4,8,7.95,96,94.4,100000000000,0,MISC,2,2.0,96,42.0,100000000000,0,T4,2,1.75,96,22.0,100000000000,0,T4,2,2.0,96,28.0,100000000000,0,T4,8,7.9,96,91.0,100000000000,0,MISC,8,7.85,96,94.0,100000000000,0,MISC,2,2.0,64,50.0,100000000000,0,P100,8,7.3,96,90.0,100000000000,0,MISC,2,1.75,64,16.0,100000000000,0,P100,2,2.0,96,14.0,100000000000,0,T4,2,2.0,64,12.0,100000000000,0,P100,2,2.0,96,44.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,3.6,96,33.0,100000000000,0,MISC,2,2.0,64,16.0,100000000000,0,P100,2,0.5,96,12.0,100000000000,0,T4,2,1.5,96,16.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,7.5,96,40.0,100000000000,0,V100,8,1.0,96,6.0,100000000000,0,MISC,2,1.0,64,18.0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,2.0,96,12.0,100000000000,0,T4,2,1.0,96,6.0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,8,1.0,96,18.0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4
1252,8,7.95,96,93.85,100000000000,0,MISC,2,2.0,64,18.5,100000000000,0,P100,2,1.75,96,40.0,100000000000,0,T4,8,7.95,96,94.4,100000000000,0,MISC,2,2.0,96,42.0,100000000000,0,T4,2,1.75,96,22.0,100000000000,0,T4,2,2.0,96,28.0,100000000000,0,T4,8,7.9,96,91.0,100000000000,0,MISC,8,7.85,96,94.0,100000000000,0,MISC,2,2.0,64,50.0,100000000000,0,P100,8,7.3,96,90.0,100000000000,0,MISC,2,1.75,64,16.0,100000000000,0,P100,2,2.0,96,14.0,100000000000,0,T4,2,2.0,64,12.0,100000000000,0,P100,2,2.0,96,44.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,3.6,96,33.0,100000000000,0,MISC,2,2.0,64,16.0,100000000000,0,P100,2,0.5,96,12.0,100000000000,0,T4,2,1.5,96,16.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,7.5,96,40.0,100000000000,0,V100,8,1.0,96,6.0,100000000000,0,MISC,2,1.0,64,18.0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,2.0,96,12.0,100000000000,0,T4,2,1.0,96,6.0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,8,1.0,96,18.0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4
1253,8,7.95,96,93.85,100000000000,0,MISC,2,2.0,64,18.5,100000000000,0,P100,2,1.75,96,40.0,100000000000,0,T4,8,7.95,96,94.4,100000000000,0,MISC,2,2.0,96,42.0,100000000000,0,T4,2,1.75,96,22.0,100000000000,0,T4,2,2.0,96,28.0,100000000000,0,T4,8,7.9,96,91.0,100000000000,0,MISC,8,7.85,96,94.0,100000000000,0,MISC,2,2.0,64,50.0,100000000000,0,P100,8,7.3,96,90.0,100000000000,0,MISC,2,1.75,64,16.0,100000000000,0,P100,2,2.0,96,14.0,100000000000,0,T4,2,2.0,64,12.0,100000000000,0,P100,2,2.0,96,44.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,3.6,96,33.0,100000000000,0,MISC,2,2.0,64,16.0,100000000000,0,P100,2,0.5,96,12.0,100000000000,0,T4,2,1.5,96,16.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,7.5,96,40.0,100000000000,0,V100,8,1.0,96,6.0,100000000000,0,MISC,2,1.0,64,18.0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,2.0,96,12.0,100000000000,0,T4,2,1.0,96,6.0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,8,1.0,96,18.0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4
1254,8,7.95,96,93.85,100000000000,0,MISC,2,2.0,64,18.5,100000000000,0,P100,2,1.75,96,40.0,100000000000,0,T4,8,7.95,96,94.4,100000000000,0,MISC,2,2.0,96,42.0,100000000000,0,T4,2,1.75,96,22.0,100000000000,0,T4,2,2.0,96,28.0,100000000000,0,T4,8,7.9,96,91.0,100000000000,0,MISC,8,7.85,96,94.0,100000000000,0,MISC,2,2.0,64,50.0,100000000000,0,P100,8,7.3,96,90.0,100000000000,0,MISC,2,1.75,64,16.0,100000000000,0,P100,2,2.0,96,14.0,100000000000,0,T4,2,2.0,64,12.0,100000000000,0,P100,2,2.0,96,44.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,3.6,96,33.0,100000000000,0,MISC,2,2.0,64,16.0,100000000000,0,P100,2,0.5,96,12.0,100000000000,0,T4,2,1.5,96,16.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,7.5,96,40.0,100000000000,0,V100,8,1.0,96,6.0,100000000000,0,MISC,2,1.0,64,18.0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,2.0,96,12.0,100000000000,0,T4,2,1.0,96,6.0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,8,1.0,96,18.0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4
1255,8,7.95,96,93.85,100000000000,0,MISC,2,2.0,64,18.5,100000000000,0,P100,2,1.75,96,40.0,100000000000,0,T4,8,7.95,96,94.4,100000000000,0,MISC,2,2.0,96,42.0,100000000000,0,T4,2,1.75,96,22.0,100000000000,0,T4,2,2.0,96,28.0,100000000000,0,T4,8,7.9,96,91.0,100000000000,0,MISC,8,7.85,96,94.0,100000000000,0,MISC,2,2.0,64,50.0,100000000000,0,P100,8,7.3,96,90.0,100000000000,0,MISC,2,1.75,64,16.0,100000000000,0,P100,2,2.0,96,14.0,100000000000,0,T4,2,2.0,64,12.0,100000000000,0,P100,2,2.0,96,44.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,3.6,96,33.0,100000000000,0,MISC,2,2.0,64,16.0,100000000000,0,P100,2,0.5,96,12.0,100000000000,0,T4,2,1.5,96,16.0,100000000000,0,T4,2,1.0,64,18.0,100000000000,0,P100,8,7.5,96,40.0,100000000000,0,V100,8,1.0,96,6.0,100000000000,0,MISC,2,1.0,64,18.0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,2.0,96,12.0,100000000000,0,T4,2,1.0,96,6.0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,8,1.0,96,18.0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,8,0,96,0,100000000000,0,V100,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,8,0,96,0,100000000000,0,MISC,2,0,64,0,100000000000,0,P100,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4,2,0,96,0,100000000000,0,T4
